permutation|time
(0, 4, 1, 3, 2)|0:00:23.905047
(0, 4, 1, 3, 2)|0:00:23.549001
(0, 4, 1, 3, 2)|0:00:23.475001
(0, 4, 1, 3, 2)|0:00:23.506107
(0, 4, 1, 3, 2)|0:00:23.530001
(0, 4, 1, 3, 2)|0:00:23.498000
(0, 4, 1, 3, 2)|0:00:23.521999
(0, 4, 1, 3, 2)|0:00:23.603000
(0, 4, 1, 3, 2)|0:00:23.723000
(0, 4, 1, 3, 2)|0:00:23.784523
(0, 4, 1, 3, 2)|0:00:23.783999
(0, 4, 1, 3, 2)|0:00:23.627028
(0, 4, 1, 3, 2)|0:00:23.554001
(0, 4, 1, 3, 2)|0:00:23.503999
(0, 4, 1, 3, 2)|0:00:23.608002
(0, 4, 1, 3, 2)|0:00:23.487999
(0, 4, 1, 3, 2)|0:00:23.582999
(0, 4, 1, 3, 2)|0:00:23.544251
(0, 4, 1, 3, 2)|0:00:23.404000
(0, 4, 1, 3, 2)|0:00:23.571001
(0, 4, 2, 1, 3)|0:00:23.397236
(0, 4, 2, 1, 3)|0:00:23.623999
(0, 4, 2, 1, 3)|0:00:23.546000
(0, 4, 2, 1, 3)|0:00:23.695001
(0, 4, 2, 1, 3)|0:00:23.669002
(0, 4, 2, 1, 3)|0:00:23.479001
(0, 4, 2, 1, 3)|0:00:23.628002
(0, 4, 2, 1, 3)|0:00:23.497001
(0, 4, 2, 1, 3)|0:00:23.490001
(0, 4, 2, 1, 3)|0:00:23.690054
(0, 4, 2, 1, 3)|0:00:23.503999
(0, 4, 2, 1, 3)|0:00:23.662001
(0, 4, 2, 1, 3)|0:00:23.612076
(0, 4, 2, 1, 3)|0:00:23.567986
(0, 4, 2, 1, 3)|0:00:23.593001
(0, 4, 2, 1, 3)|0:00:23.548000
(0, 4, 2, 1, 3)|0:00:23.507000
(0, 4, 2, 1, 3)|0:00:23.474117
(0, 4, 2, 1, 3)|0:00:23.462142
(0, 4, 2, 1, 3)|0:00:23.566010
(0, 4, 2, 3, 1)|0:00:24.158000
(0, 4, 2, 3, 1)|0:00:24.275001
(0, 4, 2, 3, 1)|0:00:24.120000
(0, 4, 2, 3, 1)|0:00:24.220001
(0, 4, 2, 3, 1)|0:00:24.220233
(0, 4, 2, 3, 1)|0:00:24.125999
(0, 4, 2, 3, 1)|0:00:24.314999
(0, 4, 2, 3, 1)|0:00:24.415000
(0, 4, 2, 3, 1)|0:00:24.238024
(0, 4, 2, 3, 1)|0:00:24.299000
(0, 4, 2, 3, 1)|0:00:24.190999
(0, 4, 2, 3, 1)|0:00:24.282000
(0, 4, 2, 3, 1)|0:00:24.071999
(0, 4, 2, 3, 1)|0:00:24.042000
(0, 4, 2, 3, 1)|0:00:24.130010
(0, 4, 2, 3, 1)|0:00:24.020658
(0, 4, 2, 3, 1)|0:00:24.173999
(0, 4, 2, 3, 1)|0:00:23.995999
(0, 4, 2, 3, 1)|0:00:24.031001
(0, 4, 2, 3, 1)|0:00:24.054001
(0, 4, 3, 1, 2)|0:00:23.962001
(0, 4, 3, 1, 2)|0:00:24.064000
(0, 4, 3, 1, 2)|0:00:24.070999
(0, 4, 3, 1, 2)|0:00:23.985000
(0, 4, 3, 1, 2)|0:00:24.071000
(0, 4, 3, 1, 2)|0:00:24.047001
(0, 4, 3, 1, 2)|0:00:24.054999
(0, 4, 3, 1, 2)|0:00:24.026001
(0, 4, 3, 1, 2)|0:00:24.060000
(0, 4, 3, 1, 2)|0:00:24.039999
(0, 4, 3, 1, 2)|0:00:24.009145
(0, 4, 3, 1, 2)|0:00:24.073002
(0, 4, 3, 1, 2)|0:00:23.975000
(0, 4, 3, 1, 2)|0:00:24.115001
(0, 4, 3, 1, 2)|0:00:24.177000
(0, 4, 3, 1, 2)|0:00:24.147001
(0, 4, 3, 1, 2)|0:00:24.532999
(0, 4, 3, 1, 2)|0:00:24.030998
(0, 4, 3, 1, 2)|0:00:24.151002
(0, 4, 3, 1, 2)|0:00:24.110001
(0, 4, 3, 2, 1)|0:00:24.427999
(0, 4, 3, 2, 1)|0:00:24.156004
(0, 4, 3, 2, 1)|0:00:24.064999
(0, 4, 3, 2, 1)|0:00:24.116017
(0, 4, 3, 2, 1)|0:00:24.268028
(0, 4, 3, 2, 1)|0:00:24.017999
(0, 4, 3, 2, 1)|0:00:24.167002
